date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,ORCL,AMD,IBM
2020-01-02,75.09,160.62,68.43,94.9,6.0,209.78,28.68,53.95,49.1,129.35
2020-01-03,74.36,158.62,68.08,93.75,5.9,208.67,29.53,53.76,48.6,128.32
2020-01-06,74.95,159.03,69.89,95.14,5.93,212.6,30.1,54.04,48.39,128.09
2020-01-07,74.6,157.58,69.76,95.34,6.0,213.06,31.27,54.16,48.25,128.17
2020-01-08,75.8,160.09,70.25,94.6,6.01,215.22,32.81,54.13,47.83,129.24
2020-01-09,77.41,162.09,70.99,95.05,6.08,218.3,32.09,54.38,48.97,130.61
2020-01-10,77.58,161.34,71.45,94.16,6.11,218.06,31.88,54.45,48.165,130.56
2020-01-13,79.24,163.28,72.0,94.57,6.3,221.91,34.99,54.58,48.745,130.48
2020-01-14,78.17,162.13,71.53,93.47,6.18,219.06,35.86,54.88,48.21,129.73
2020-01-15,77.83,163.18,71.96,93.1,6.14,221.15,34.57,54.76,48.545,130.49
2020-01-16,78.81,166.17,72.51,93.9,6.22,221.77,34.23,55.43,49.77,131.79
2020-01-17,79.68,167.1,73.98,93.24,6.23,222.14,34.03,55.13,50.93,132.11
2020-01-21,79.14,166.5,74.11,94.6,6.2,221.44,36.48,55.22,51.05,132.93
2020-01-22,79.43,165.7,74.21,94.37,6.25,221.32,37.97,54.72,51.43,137.44
2020-01-23,79.81,166.72,74.23,94.23,6.32,219.76,38.15,54.98,51.71,136.46
2020-01-24,79.58,165.04,73.31,93.08,6.26,217.94,37.65,54.07,50.35,134.26
2020-01-27,77.24,162.28,71.59,91.42,6.01,214.87,37.2,52.69,49.26,132.4
2020-01-28,79.42,165.46,72.53,92.66,6.2,217.79,37.79,53.46,50.53,133.29
2020-01-29,81.08,168.04,72.83,92.9,6.14,223.23,38.73,53.2,47.51,131.52
2020-01-30,80.97,172.78,72.71,93.53,6.15,209.53,42.72,53.31,48.78,130.64
2020-01-31,77.38,170.23,71.64,100.44,5.91,201.91,43.37,52.45,47.0,137.29
2020-02-03,77.17,174.38,74.13,100.21,6.01,204.19,52.0,53.09,48.02,139.71
2020-02-04,79.71,180.12,72.27,102.48,6.18,209.83,59.14,54.04,49.45,142.42
2020-02-05,80.36,179.9,72.3,101.99,6.27,210.11,48.98,54.74,49.84,149.32
2020-02-06,81.3,183.63,73.8,102.51,6.36,210.85,49.93,54.71,49.32,149.73
2020-02-07,80.01,183.89,73.96,103.96,6.29,212.33,49.87,54.72,49.73,146.53
2020-02-10,80.39,188.7,75.43,106.7,6.57,213.06,51.42,54.99,52.26,147.51
2020-02-11,79.9,184.44,75.5,107.54,6.7,207.19,51.63,55.15,53.8,146.6
2020-02-12,81.8,184.71,75.93,108.0,6.81,210.76,51.15,55.73,53.89,148.35
2020-02-13,81.22,183.71,75.67,107.49,6.77,213.14,53.6,55.31,54.53,147.39
2020-02-14,81.24,185.35,75.94,106.74,7.24,214.18,53.34,55.47,55.31,143.94
2020-02-18,79.75,187.23,75.97,107.78,7.41,217.8,57.23,55.45,56.89,144.33
2020-02-19,80.91,187.28,76.24,108.51,7.87,217.49,61.16,55.44,58.9,144.1
2020-02-20,80.08,184.42,75.85,107.65,7.72,214.58,59.96,55.51,57.27,144.44
2020-02-21,78.26,178.59,74.17,104.8,7.35,210.18,60.07,54.68,53.28,143.12
2020-02-24,74.55,170.89,70.99,100.46,6.83,200.72,55.59,52.65,49.12,139.86
2020-02-25,72.02,168.07,69.32,98.64,6.55,196.77,53.33,50.96,47.57,135.36
2020-02-26,73.16,170.17,69.52,98.98,6.69,197.2,51.92,52.05,47.49,133.48
2020-02-27,68.38,158.18,65.75,94.21,6.32,189.75,45.27,50.78,44.01,127.14
2020-02-28,68.34,162.01,66.96,94.19,6.75,192.47,44.53,49.46,45.48,124.31
2020-03-02,74.7,172.79,69.32,97.7,6.91,196.44,49.57,50.9,47.46,128.28
2020-03-03,72.33,164.51,66.89,95.45,6.65,185.89,49.7,48.85,46.75,123.12
2020-03-04,75.69,170.55,69.08,98.79,7.11,191.76,49.97,50.54,50.11,128.2
2020-03-05,73.23,166.27,65.74,96.2,6.83,185.17,48.3,48.0,48.11,123.74
2020-03-06,72.26,161.57,64.79,95.05,6.65,181.09,46.9,47.37,48.59,122.0
2020-03-09,66.54,150.62,60.79,90.03,6.14,169.5,40.53,46.01,43.27,112.53
2020-03-10,71.33,160.92,63.76,94.59,6.53,178.19,43.02,48.58,45.38,119.18
2020-03-11,68.86,153.63,60.55,91.04,6.16,170.24,42.28,44.72,45.7,112.68
2020-03-12,62.06,139.06,55.58,83.83,5.41,154.47,37.37,39.8,39.01,98.2
2020-03-13,69.49,158.83,60.71,89.25,6.02,170.28,36.44,47.93,43.9,103.11
2020-03-16,60.55,135.42,53.65,84.46,4.91,146.01,29.67,42.72,38.71,94.64
2020-03-17,63.22,146.57,55.9,90.39,5.43,149.42,28.68,46.86,41.88,101.87
2020-03-18,61.67,140.4,54.56,91.5,5.07,146.96,24.08,47.27,39.12,98.91
2020-03-19,61.2,142.71,55.58,94.05,5.32,153.13,28.51,45.07,39.82,95.84
2020-03-20,57.31,137.35,53.41,92.3,5.14,149.73,28.5,45.65,39.61,91.11
2020-03-23,56.09,135.98,52.71,95.14,5.32,148.1,28.95,44.19,41.64,90.52
2020-03-24,61.72,148.34,56.5,97.0,6.23,160.98,33.67,47.84,46.22,100.75
2020-03-25,61.38,146.92,55.08,94.29,6.14,156.21,35.95,45.94,44.63,101.1
2020-03-26,64.61,156.11,58.15,97.77,6.43,163.34,35.21,50.48,47.5,107.83
2020-03-27,61.94,149.7,55.51,95.0,6.32,156.79,34.29,49.83,46.58,103.19
2020-03-30,63.7,160.23,57.32,98.2,6.64,165.95,33.48,50.36,47.86,107.87
2020-03-31,63.57,157.71,58.1,97.49,6.59,166.8,34.93,48.33,45.48,105.96
2020-04-01,60.23,152.11,55.11,95.39,6.08,159.6,32.1,48.71,43.66,100.43
2020-04-02,61.23,155.26,55.85,95.94,6.39,158.19,30.3,49.8,44.49,105.07
2020-04-03,60.35,153.83,54.64,95.33,6.1,154.18,32.0,49.4,42.59,101.57
2020-04-06,65.62,165.27,59.16,99.88,6.71,165.55,34.42,51.49,47.52,109.67
2020-04-07,64.86,163.49,59.13,100.58,6.48,168.83,36.36,50.76,47.56,109.79
2020-04-08,66.52,165.13,60.35,102.15,6.67,174.28,36.59,52.13,48.79,113.94
2020-04-09,67.0,165.14,60.33,102.14,6.57,175.19,38.2,53.18,48.38,116.05
2020-04-13,68.31,165.51,60.52,108.44,6.75,174.79,43.4,52.97,50.94,115.72
2020-04-14,71.76,173.7,63.26,114.17,7.1,178.17,47.33,54.0,54.93,118.35
2020-04-15,71.11,171.88,62.87,115.38,7.02,176.97,48.66,53.16,54.99,113.37
2020-04-16,71.67,177.04,62.87,120.41,7.37,176.25,49.68,53.7,56.95,110.54
2020-04-17,70.7,178.6,63.95,118.75,7.31,179.24,50.26,54.62,56.6,114.73
2020-04-20,69.23,175.06,63.06,119.68,7.18,178.24,49.76,53.91,56.97,115.01
2020-04-21,67.09,167.82,60.61,116.41,6.74,170.8,45.78,51.31,52.92,111.52
2020-04-22,69.03,173.52,62.92,118.17,7.15,182.28,48.81,52.27,55.92,113.96
2020-04-23,68.76,171.42,63.56,119.97,7.1,185.13,47.04,51.97,55.9,115.91
2020-04-24,70.74,174.55,63.83,120.51,7.24,190.07,48.34,53.01,56.18,119.13
2020-04-27,70.79,174.05,63.54,118.8,7.43,187.5,53.25,53.37,56.49,120.27
2020-04-28,69.65,169.81,61.63,115.7,7.28,182.91,51.27,53.2,55.51,120.61
2020-04-29,71.93,177.43,67.11,118.64,7.46,194.19,53.37,53.88,53.66,122.92
2020-04-30,73.45,179.21,67.33,123.7,7.31,204.71,52.13,52.97,52.39,119.93
2020-05-01,72.27,174.57,65.87,114.3,7.07,202.27,46.75,51.79,49.88,116.41
2020-05-04,73.29,178.84,66.15,115.8,7.28,205.26,50.75,51.75,52.56,116.22
2020-05-05,74.39,180.76,67.45,115.89,7.34,207.07,51.21,52.05,52.19,117.08
2020-05-06,75.16,182.54,67.27,117.56,7.44,208.47,52.17,51.86,52.16,117.65
2020-05-07,75.94,183.6,68.46,118.38,7.62,211.26,52.0,52.6,51.95,115.79
2020-05-08,77.53,184.68,69.22,118.98,7.81,212.35,54.63,53.57,53.19,117.48
2020-05-11,78.75,186.74,70.18,120.45,8.07,213.18,54.09,53.53,55.74,117.09
2020-05-12,77.85,182.51,68.76,117.85,7.8,210.1,53.96,52.27,53.76,114.87
2020-05-13,76.91,179.75,67.42,118.4,7.78,205.1,52.73,51.65,52.18,110.54
2020-05-14,77.39,180.53,67.84,119.44,8.03,206.81,53.56,52.91,54.51,111.71
2020-05-15,76.93,183.16,68.65,120.49,8.49,210.88,53.28,52.92,54.2,111.74
2020-05-18,78.74,184.91,69.26,121.31,8.75,213.19,54.24,53.15,54.59,116.11
2020-05-19,78.29,183.63,68.72,122.47,8.81,216.88,53.87,52.34,55.47,114.9
2020-05-20,79.81,185.66,70.46,124.9,8.97,229.97,54.37,52.9,56.39,115.94
2020-05-21,79.21,183.43,70.34,122.34,8.78,231.39,55.17,52.22,54.65,113.78
2020-05-22,79.72,183.51,70.66,121.84,9.03,234.91,54.46,52.62,55.17,113.08
2020-05-26,79.18,181.57,71.07,121.09,8.72,232.2,54.59,52.78,53.19,116.3
2020-05-27,79.53,181.81,71.01,120.52,8.53,229.14,54.68,53.2,52.74,119.91
2020-05-28,79.56,181.4,70.91,120.06,8.49,225.46,53.72,53.62,51.74,118.95
2020-05-29,79.49,183.25,71.68,122.12,8.88,225.09,55.67,53.77,53.8,119.3
2020-06-01,80.46,182.83,71.74,123.55,8.81,231.91,59.87,53.06,53.63,119.29
2020-06-02,80.83,184.91,72.12,123.62,8.83,232.72,58.77,53.28,53.54,120.35
2020-06-03,81.28,185.36,71.96,123.92,8.77,230.16,58.86,53.49,52.73,123.26
2020-06-04,80.58,182.92,70.72,123.03,8.77,226.29,57.63,52.85,52.63,123.11
